titre,type_media,classification_age,est_violent
Who Wants to Be a Millionaire?,Jeu Video,E,FALSE
Werewolf: The Apocalypse - Earthblood,Jeu Video,M,TRUE
Asdivine Dios,Jeu Video,ET,TRUE
Les Sims™ 4 Escapade enneigée ,Jeu Video,T,FALSE
Need for Speed Hot Pursuit Remastered,Jeu Video,ET,FALSE
The Sims™ 4 Snowy Escape,Jeu Video,T,FALSE
Professor  Rubik's Brain Fitness,Jeu Video,E,FALSE
Slide Stars,Jeu Video,T,TRUE
My Universe - Cooking Star Restaurant,Jeu Video,E,FALSE
XIII,Jeu Video,M,TRUE
Wallachia: Reign of Dracula,Jeu Video,T,TRUE
TERA,Jeu Video,M,TRUE
PAW Patrol Mighty Pups Save Adventure Bay,Jeu Video,E,FALSE
Watch Dogs Complete Edition,Jeu Video,M,TRUE
Planet Coaster Console Edition,Jeu Video,E,FALSE
THE KING OF FIGHTERS™ COLLECTION: THE OROCHI SAGA,Jeu Video,T,TRUE
Harvest Moon: One World,Jeu Video,E,FALSE
Art of Fighting Anthology ,Jeu Video,T,TRUE
Demon's Tier+,Jeu Video,ET,TRUE
SIMULACRA,Jeu Video,M,FALSE
Space Channel 5 VR Kinda Funky News Flash!,Jeu Video,ET,TRUE
The Complex,Jeu Video,M,TRUE
Prince of Persia: The Sands of Time Remake,Jeu Video,T,TRUE
Shadows of Adam,Jeu Video,T,TRUE
Hellpoint,Jeu Video,M,TRUE
Mad Rat Dead,Jeu Video,T,TRUE
Where the Water Tastes Like Wine,Jeu Video,M,FALSE
Marvel's Spider-Man: Miles Morales,Jeu Video,T,TRUE
MY UNIVERSE - FASHION BOUTIQUE,Jeu Video,E,FALSE
The Walking Dead: Saints & Sinners - Complete Edition,Jeu Video,M,TRUE
Mighty Gunvolt Burst,Jeu Video,E,TRUE
Santa's Xmas Adventure,Jeu Video,E,FALSE
Train Sim World®2: Collector's Edition,Jeu Video,E,FALSE
Ys IX: Monstrum Nox,Jeu Video,T,TRUE
CROSSING SOULS,Jeu Video,M,TRUE
Spacebase Startopia,Jeu Video,ET,TRUE
TRANSFORMERS:BATTLEGROUNDS,Jeu Video,ET,TRUE
Family Feud,Jeu Video,E,FALSE
Taxi Chaos,Jeu Video,ET,TRUE
Remothered: Broken Porcelain,Jeu Video,M,TRUE
Katamari Damacy REROLL,Jeu Video,E,TRUE
Puyo Puyo Tetris 2,Jeu Video,ET,FALSE
Mortal Shell,Jeu Video,M,TRUE
NHL 21,Jeu Video,ET,TRUE
NHL 21 Great Eight Edition,Jeu Video,ET,TRUE
Fishing Sim World: Bass Pro Shops Edition,Jeu Video,E,FALSE
THE KING OF FIGHTERS 2000,Jeu Video,T,FALSE
ROBOTICS;NOTES DaSH,Jeu Video,T,TRUE
Sackboy: A Big Adventure,Jeu Video,E,TRUE
Little Nightmares II,Jeu Video,T,TRUE
DIRT 5,Jeu Video,E,FALSE
FIFA 21,Jeu Video,E,FALSE
Supermarket Shriek,Jeu Video,ET,TRUE
Hotline Miami,Jeu Video,M,TRUE
OLIJA,Jeu Video,T,TRUE
Monster Truck Championship,Jeu Video,E,FALSE
Nickelodeon Kart Racers 2: Grand Prix,Jeu Video,E,TRUE
Hotline Miami 2: Wrong Number ,Jeu Video,M,TRUE
Scott Pilgrim vs. the World: The Game - Complete Edition,Jeu Video,T,TRUE
Star Wars: Squadrons,Jeu Video,T,TRUE
The Walking Dead Onslaught,Jeu Video,M,TRUE
Cobra Kai: The Karate Kid Saga Continues,Jeu Video,T,TRUE
Freedom Finger,Jeu Video,M,TRUE
Just Dance 2021,Jeu Video,E,FALSE
The Dark Pictures Anthology: Little Hope,Jeu Video,M,TRUE
Peaky Blinders: Mastermind,Jeu Video,M,TRUE
Black Desert Prestige Edition,Jeu Video,T,TRUE
Kaze and the Wild Masks,Jeu Video,E,TRUE
Neon City Riders,Jeu Video,ET,TRUE
Neverending Nightmares,Jeu Video,M,TRUE
New Super Lucky's Tale,Jeu Video,E,TRUE
THE LAST BLADE 2,Jeu Video,T,TRUE
Yaga,Jeu Video,T,TRUE
Etherborn,Jeu Video,E,FALSE
Ben 10: Power Trip,Jeu Video,ET,FALSE
Goosebumps Dead of Night,Jeu Video,ET,TRUE
Port Royale 4 ,Jeu Video,ET,FALSE
My Universe : School teacher,Jeu Video,E,FALSE
"Sakuna: Of Rice and Ruin ""Divine Edition""",Jeu Video,T,TRUE
Untitled Goose Game,Jeu Video,E,FALSE
Immortals Fenyx Rising,Jeu Video,T,FALSE
Dying Light: The Following - Enhanced Edition,Jeu Video,M,TRUE
Zengeon,Jeu Video,T,TRUE
The Pathless,Jeu Video,ET,TRUE
Human Fall Flat,Jeu Video,E,FALSE
Power Rangers: Battle for the Grid - Collector's Edition,Jeu Video,T,TRUE
1971 Project Helios,Jeu Video,T,FALSE
Destiny 2: Beyond Light,Jeu Video,T,TRUE
Tin and Kuna ,Jeu Video,E,TRUE
Les Sims™ 4 Star Wars™: Voyage sur Batuu ,Jeu Video,T,FALSE
Los Sims™ 4 Star Wars™: Viaje a Batuu ,Jeu Video,T,FALSE
The Sims™ 4 Star Wars™: Journey to Batuu,Jeu Video,T,FALSE
Assassin's Creed Valhalla,Jeu Video,M,TRUE
Call of Duty®: Black Ops Cold War,Jeu Video,M,TRUE
Tony Stewart's All-American Racing / Tony Stewart's Sprint Car Racing (Bundle),Jeu Video,E,FALSE
G.I. Joe: Operation Blackout,Jeu Video,T,TRUE
Speed 3: Grand Prix,Jeu Video,E,TRUE
Tennis World Tour 2,Jeu Video,E,FALSE
WRC 9 FIA World Rally Championship,Jeu Video,E,FALSE
Earth Defense Force 5,Jeu Video,T,TRUE
GAROU: MARK OF THE WOLVES™,Jeu Video,T,FALSE
One Step From Eden,Jeu Video,ET,TRUE
Return of the Obra Dinn,Jeu Video,M,TRUE
STAR WARS™ Episode I Racer,Jeu Video,E,TRUE
The Dark Crystal: Age of Resistance Tactics,Jeu Video,ET,TRUE
Skydrift Infinity,Jeu Video,ET,TRUE
Volgarr The Viking,Jeu Video,T,TRUE
Madden NFL 21,Jeu Video,E,FALSE
Marvel's Spider-Man: Game of the Year Edition,Jeu Video,T,TRUE
Wasteland 3,Jeu Video,M,TRUE
Darkwood,Jeu Video,M,TRUE
Watch Dogs Legion ,Jeu Video,M,TRUE
Death end re;Quest 2,Jeu Video,M,TRUE
Destroy All Humans!,Jeu Video,T,TRUE
Giraffe and Annika,Jeu Video,E,FALSE
MX vs ATV All Out 2020 Pro Nationals Edition,Jeu Video,ET,TRUE
Fuser,Jeu Video,T,TRUE
Dead Cells: Prisoner's Edition,Jeu Video,T,TRUE
Mystik Belle ,Jeu Video,ET,TRUE
Train Sim World®2,Jeu Video,E,FALSE
Mafia: Definitive Edition,Jeu Video,M,TRUE
Kingdoms of Amalur: Re-Reckoning,Jeu Video,M,TRUE
Street Power Football,Jeu Video,E,FALSE
Street Power Game,Jeu Video,E,FALSE
Street Power Soccer,Jeu Video,E,FALSE
Shantae and the Seven Sirens,Jeu Video,T,FALSE
Atelier Ryza 2: Lost Legends & the Secret Fairy,Jeu Video,T,TRUE
Nexomon: Extinction,Jeu Video,ET,TRUE
The Legend of Heroes: Trails of Cold Steel IV,Jeu Video,T,TRUE
Streets of Rogue,Jeu Video,T,TRUE
RIDE 4,Jeu Video,E,FALSE
eFootball PES 2021 Season Update,Jeu Video,E,FALSE
The Survivalists,Jeu Video,ET,TRUE
Sakuna: Of Rice and Ruin,Jeu Video,T,TRUE
NBA 2K21,Jeu Video,E,FALSE
Effie,Jeu Video,ET,TRUE
Umihara Kawase BaZooKa,Jeu Video,ET,TRUE
Hero Must Die. again,Jeu Video,T,TRUE
Ion Fury,Jeu Video,M,TRUE
Ary and the Secret of Seasons,Jeu Video,ET,TRUE
The Sims™ 4 Nifty Knitting,Jeu Video,T,FALSE
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Jeu Video,T,TRUE
Fall Guys,Jeu Video,E,TRUE
Outriders,Jeu Video,M,TRUE
Telling Lies,Jeu Video,M,FALSE
Yakuza: Like a Dragon,Jeu Video,M,TRUE
Graveyard Keeper,Jeu Video,T,TRUE
Project CARS 3,Jeu Video,E,FALSE
Maid of Sker,Jeu Video,M,TRUE
Asterix & Obelix XXL 3 – The Crystal Menhir,Jeu Video,ET,FALSE
SUPERHOT: MIND CONTROL DELETE,Jeu Video,T,TRUE
Rocket Arena,Jeu Video,T,TRUE
Rocket Arena Mythic Edition,Jeu Video,T,TRUE
Skully,Jeu Video,E,TRUE
void tRrLM(); //Void Terrarium,Jeu Video,T,TRUE
Bladed Fury,Jeu Video,T,TRUE
UFC 4,Jeu Video,T,TRUE
Cloudpunk,Jeu Video,M,FALSE
CrossCode,Jeu Video,T,TRUE
Seek Hearts,Jeu Video,ET,TRUE
Race with Ryan Road Trip Deluxe Edition,Jeu Video,E,FALSE
HITMAN 2: Free Starter Pack,Jeu Video,M,TRUE
Iris.Fall,Jeu Video,E,TRUE
Mutazione,Jeu Video,T,TRUE
Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Myth Infinite Combate,Jeu Video,T,TRUE
My Baby,Jeu Video,E,FALSE
KINGDOM HEARTS Melody of Memory,Jeu Video,ET,TRUE
Blair Witch,Jeu Video,M,TRUE
Riverbond,Jeu Video,ET,TRUE
13 Sentinels: Aegis Rim,Jeu Video,T,TRUE
No Straight Roads,Jeu Video,ET,TRUE
Paper Beast,Jeu Video,ET,TRUE
Star Wars Jedi Knight: Jedi Academy,Jeu Video,T,TRUE
THE KING OF FIGHTERS™ '98 ULTIMATE MATCH,Jeu Video,T,FALSE
Crash Bandicoot™ 4: It's About Time,Jeu Video,ET,FALSE
Holy Potatoes! Compendium,Jeu Video,ET,TRUE
Brigandine: The Legend of Runersia,Jeu Video,T,TRUE
Escape Game Fort Boyard,Jeu Video,ET,TRUE
Tales from the Borderlands,Jeu Video,M,TRUE
Hunting Simulator 2,Jeu Video,T,TRUE
Ghost of Tsushima,Jeu Video,M,TRUE
SuperMash,Jeu Video,ET,TRUE
Crysis Remastered,Jeu Video,M,TRUE
Disintegration,Jeu Video,T,TRUE
F1 2020,Jeu Video,E,FALSE
F1 2020 Deluxe Schumacher Edition,Jeu Video,E,FALSE
Spirit of the North,Jeu Video,E,FALSE
Asdivine Kamura,Jeu Video,ET,TRUE
The Last of Us Part II,Jeu Video,M,TRUE
STAR WARS™ Jedi Knight II - Jedi Outcast™,Jeu Video,T,TRUE
The Sims™ 4 Eco Lifestyle,Jeu Video,T,FALSE
The Catch: Carp & Coarse,Jeu Video,E,FALSE
PGA TOUR 2K21,Jeu Video,E,FALSE
Skelattack,Jeu Video,ET,TRUE
Inertial Drift,Jeu Video,E,FALSE
Pathfinder: Kingmaker - Definitive Edition ,Jeu Video,T,TRUE
Tour de France 2020,Jeu Video,E,FALSE
Assetto Corsa Competizione,Jeu Video,E,FALSE
Dark Quest 2,Jeu Video,T,TRUE
Samurai Shodown V Special ,Jeu Video,M,TRUE
Samurai Shodown VI,Jeu Video,T,FALSE
NASCAR Heat 5,Jeu Video,E,FALSE
Skater XL,Jeu Video,E,TRUE
Blaster Master Zero,Jeu Video,E,TRUE
Blaster Master Zero 2,Jeu Video,ET,TRUE
Bounty Battle,Jeu Video,ET,TRUE
Utawarerumono: Prelude to the Fallen,Jeu Video,M,TRUE
Clustertruck,Jeu Video,E,TRUE
The Elder Scrolls Online: Greymoor,Jeu Video,M,TRUE
Call of Duty: Warzone,Jeu Video,M,TRUE
Kandagawa Jet Girls,Jeu Video,T,TRUE
"Kandagawa Jet Girls ""Racing Hearts Edition""",Jeu Video,T,TRUE
Maneater,Jeu Video,M,TRUE
SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,Jeu Video,ET,FALSE
Tony Hawk's Pro Skater 1 and 2,Jeu Video,T,FALSE
Mafia II: Definitive Edition,Jeu Video,M,TRUE
Mafia III: Definitive Edition,Jeu Video,M,TRUE
Apex Legends - Pathfinder Edition,Jeu Video,T,TRUE
Golf With Your Friends,Jeu Video,ET,TRUE
Little Town Hero,Jeu Video,ET,TRUE
Budget Cuts,Jeu Video,T,TRUE
Descenders,Jeu Video,E,FALSE
Dungeon of the Endless,Jeu Video,T,TRUE
Regions of Ruin,Jeu Video,ET,TRUE
Bonds of the Skies,Jeu Video,ET,TRUE
Is It Wrong to Try to Pick Up Girls in a Dungeon? Infinite Combate,Jeu Video,T,TRUE
Mortal Kombat 11 Aftermath,Jeu Video,M,TRUE
Cyberpunk 2077,Jeu Video,M,TRUE
Kingdom Two Crowns,Jeu Video,ET,TRUE
Warborn,Jeu Video,ET,TRUE
Pig Eat Ball,Jeu Video,ET,FALSE
The MISSING: J.J. Macfield and the Island of Memories,Jeu Video,M,TRUE
WWE 2K Battlegrounds,Jeu Video,T,TRUE
CAPTAIN TSUBASA: RISE OF NEW CHAMPIONS,Jeu Video,ET,TRUE
Azure Striker GUNVOLT: STRIKER PACK,Jeu Video,T,TRUE
MARVEL'S AVENGERS,Jeu Video,T,TRUE
Trollhunters Defenders of Arcadia,Jeu Video,ET,TRUE
Let's Create! Pottery VR,Jeu Video,E,FALSE
Creature in the Well,Jeu Video,E,TRUE
SWORD ART ONLINE Alicization Lycoris,Jeu Video,T,TRUE
Frane: Dragons' Odyssey,Jeu Video,T,TRUE
Disaster Report 4: Summer Memories,Jeu Video,T,TRUE
LA-MULANA 1 & 2,Jeu Video,T,TRUE
Predator: Hunting Grounds,Jeu Video,M,TRUE
Rápidos y Furiosos: Encrucijada,Jeu Video,T,TRUE
Saints Row: The Third Remastered,Jeu Video,M,TRUE
Moving Out,Jeu Video,E,TRUE
Call of Duty®: Modern Warfare 2 Campaign Remastered,Jeu Video,M,TRUE
Persona 5 Royal,Jeu Video,M,TRUE
SAMURAI SHODOWN NEOGEO COLLECTION,Jeu Video,T,TRUE
SnowRunner,Jeu Video,E,FALSE
Streets of Rage 4,Jeu Video,T,FALSE
Those Who Remain,Jeu Video,M,TRUE
Worse Than Death,Jeu Video,M,TRUE
DOOM 64,Jeu Video,M,TRUE
John Wick Hex,Jeu Video,M,TRUE
INDIGO PROPHECY,Jeu Video,M,TRUE
The Sims™ 4 Vampires,Jeu Video,T,FALSE
Cat Quest II,Jeu Video,ET,TRUE
Google Tilt Brush,Jeu Video,T,TRUE
Immortal Realms: Vampire Wars,Jeu Video,M,TRUE
Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,Jeu Video,T,TRUE
Shikhondo: Soul Eater,Jeu Video,T,TRUE
GORN,Jeu Video,M,TRUE
R.B.I. Baseball '20,Jeu Video,E,FALSE
COMMANDOS 2 & PRAETORIANS: HD REMASTER DOUBLE PACK,Jeu Video,T,TRUE
Void Bastards,Jeu Video,M,TRUE
Daymare: 1998 Black Edition,Jeu Video,M,TRUE
TT Isle of Man - Ride on the Edge 2,Jeu Video,E,FALSE
Under Night In-Birth Exe:Late[cl-r],Jeu Video,T,TRUE
Biped,Jeu Video,E,FALSE
ROBOTICS;NOTES ELITE,Jeu Video,T,TRUE
Fishing Sim World: Pro Tour Collector's Edition,Jeu Video,E,FALSE
Fast & Furious: Crossroads,Jeu Video,T,TRUE
Cooking Mama: Cookstar,Jeu Video,E,FALSE
The Wonderful 101: Remastered,Jeu Video,T,TRUE
MotoGP20,Jeu Video,E,FALSE
Bayonetta,Jeu Video,M,TRUE
Vanquish,Jeu Video,M,TRUE
MLB The Show 20,Jeu Video,E,FALSE
Resident Evil 3,Jeu Video,M,TRUE
-Klaus-,Jeu Video,ET,TRUE
Sephirothic Stories,Jeu Video,ET,TRUE
Tamashii,Jeu Video,M,TRUE
Darksiders Genesis,Jeu Video,T,TRUE
Ikaruga,Jeu Video,ET,TRUE
Real Heroes: Firefighter,Jeu Video,ET,TRUE
Mega Party: A Tootuff Adventure,Jeu Video,T,TRUE
Apex Legends - Octane Edition,Jeu Video,T,TRUE
Marvel's Iron Man VR,Jeu Video,T,TRUE
"Ys: Memories of Celceta ""Timeless Adventurer Edition""",Jeu Video,T,TRUE
GALAK-Z: The Void,Jeu Video,ET,TRUE
Yakuza 5,Jeu Video,M,TRUE
Daymare: 1998,Jeu Video,M,TRUE
Sakura Wars,Jeu Video,T,TRUE
House Flipper,Jeu Video,E,FALSE
Nioh 2,Jeu Video,M,TRUE
ROMANCE OF THE THREE KINGDOMS XIV,Jeu Video,ET,FALSE
ADK DAMASHII,Jeu Video,T,TRUE
Arc of Alchemist,Jeu Video,ET,TRUE
Outer Wilds,Jeu Video,ET,TRUE
Doug Flutie's Maximum Football 2019,Jeu Video,E,FALSE
The Sims™ 4 Tiny Living,Jeu Video,T,FALSE
Ys: Memories of Celceta,Jeu Video,T,TRUE
"Warhammer 40,000: Mechanicus",Jeu Video,T,TRUE
Arcade Spirits,Jeu Video,T,TRUE
Dreams,Jeu Video,T,TRUE
Gigantosaurus The Game ,Jeu Video,E,TRUE
Fallout 76 Wastelanders,Jeu Video,M,TRUE
FAIRY TAIL,Jeu Video,T,TRUE
Fortnite: Darkfire Bundle,Jeu Video,T,TRUE
Fu'un Super Combo,Jeu Video,T,TRUE
7 Days to Die,Jeu Video,M,TRUE
Crypt of the NecroDancer,Jeu Video,T,TRUE
SuperEpic: The Entertainment War,Jeu Video,ET,TRUE
1001 Spikes,Jeu Video,T,TRUE
VA-11 HALL-A: Cyberpunk Bartender Action,Jeu Video,M,FALSE
One Piece: Pirate Warriors 4 ,Jeu Video,T,FALSE
ONE PUNCH MAN: A HERO NOBODY KNOWS,Jeu Video,T,TRUE
FINAL FANTASY VII Remake,Jeu Video,T,FALSE
Five Nights at Freddy's: Help Wanted,Jeu Video,T,TRUE
Street Fighter V: Champion Edition,Jeu Video,T,TRUE
Dynasty Warriors 9 Special Scenario Edition,Jeu Video,T,FALSE
Dynasty Warriors 9 Special Weapon Edition ,Jeu Video,T,FALSE
Langrisser I & II,Jeu Video,T,TRUE
Life is Strange 2 Complete Season,Jeu Video,M,TRUE
Remnant: From the Ashes,Jeu Video,M,TRUE
DOOM Slayers Collection,Jeu Video,M,TRUE
Azur Lane: Crosswave,Jeu Video,T,TRUE
Desperados III,Jeu Video,M,TRUE
Monster Energy Supercross - The Official Videogame 3,Jeu Video,E,FALSE
MY HERO ONE'S JUSTICE 2,Jeu Video,T,TRUE
Ancestors: The Humankind Odyssey,Jeu Video,T,TRUE
AVICII Invector,Jeu Video,T,FALSE
Super Blood Hockey,Jeu Video,M,TRUE
Granblue Fantasy: Versus,Jeu Video,T,TRUE
Need for Speed HEAT,Jeu Video,T,FALSE
Journey to the Savage Planet,Jeu Video,T,TRUE
LA-MULANA 1 & 2 Hidden Treasures Edition,Jeu Video,T,TRUE
Polybius,Jeu Video,ET,TRUE
Trials of Mana,Jeu Video,T,TRUE
Children of Zodiarcs,Jeu Video,T,TRUE
Illusion of L'Phalcia,Jeu Video,ET,TRUE
Legend of the Tetrarchs,Jeu Video,ET,TRUE
The Escapists,Jeu Video,T,TRUE
Worms Battlegrounds,Jeu Video,ET,TRUE
DCL - The Game,Jeu Video,E,FALSE
Shovel Knight: Treasure Trove,Jeu Video,E,TRUE
AO Tennis 2,Jeu Video,E,FALSE
Costume Quest 2,Jeu Video,ET,TRUE
Cities: Skylines Parklife Edition,Jeu Video,E,FALSE
Sniper Ghost Warrior Contracts,Jeu Video,M,TRUE
Slayaway Camp: Butcher´s cut,Jeu Video,M,TRUE
DRAGON BALL Z: KAKAROT,Jeu Video,T,FALSE
Astroneer,Jeu Video,E,TRUE
Jumanji The Video Game,Jeu Video,T,TRUE
Les Sims™ 4 Á la fac,Jeu Video,T,FALSE
Los Sims™ 4 Dias de Universidad,Jeu Video,T,FALSE
Star Wars Jedi: Fallen Order,Jeu Video,T,TRUE
The Sims™ 4 Discover University,Jeu Video,T,FALSE
Garfield Kart: Furious Racing,Jeu Video,E,FALSE
Ghost Parade,Jeu Video,ET,TRUE
Offroad Racing - Buggy X ATV X Moto,Jeu Video,E,FALSE
The Unicorn Princess,Jeu Video,E,FALSE
Ancestors Legacy,Jeu Video,M,TRUE
Away: Journey to the Unexpected,Jeu Video,T,TRUE
MechaNika,Jeu Video,M,TRUE
Valfaris,Jeu Video,M,TRUE
fault - milestone one,Jeu Video,T,TRUE
Alvastia Chronicles,Jeu Video,ET,TRUE
Stranger Things 3: The Game,Jeu Video,T,TRUE
Chronos: Before the Ashes,Jeu Video,T,TRUE
Mighty Switch Force! Collection,Jeu Video,ET,TRUE
Conception PLUS: Maidens of the Twelve Stars,Jeu Video,M,TRUE
Deliver Us The Moon,Jeu Video,T,TRUE
Golem,Jeu Video,T,TRUE
Monkey King Hero is Back,Jeu Video,T,TRUE
The Lord of the Rings Living Card Game,Jeu Video,ET,TRUE
Skulls of the Shogun : Bone-a-Fide Edition,Jeu Video,T,TRUE
Blasphemous,Jeu Video,M,TRUE
GALAK-Z,Jeu Video,ET,TRUE
Dusk Diver,Jeu Video,T,TRUE
Race with Ryan,Jeu Video,E,FALSE
Siralim 3,Jeu Video,T,TRUE
"Soccer, Tactics & Glory",Jeu Video,E,FALSE
Two Point Hospital,Jeu Video,ET,TRUE
Yakuza 4,Jeu Video,M,TRUE
Heroland,Jeu Video,T,TRUE
Heroland - 'Knowble Edition',Jeu Video,T,TRUE
NARCOS: Rise of the Cartels,Jeu Video,M,TRUE
Umihara Kawase Fresh!,Jeu Video,ET,TRUE
BoxVR,Jeu Video,ET,FALSE
Raging Loop,Jeu Video,M,TRUE
The Outer Worlds,Jeu Video,M,TRUE
Hellmut - The Badass From Hell TM,Jeu Video,T,TRUE
World of Warships Legends: Firepower Deluxe Edition,Jeu Video,T,TRUE
Beholder 2,Jeu Video,M,TRUE
Minotaur Arcade Vol. 1,Jeu Video,ET,TRUE
Baldur's Gate: Enhanced Edition / Baldur's Gate II: Enhanced Edition,Jeu Video,T,FALSE
Destiny Connect: Tick-Tock Travelers,Jeu Video,ET,TRUE
Apex Legends - Bloodhound Edition,Jeu Video,T,TRUE
Apex Legends - Lifeline Edition,Jeu Video,T,TRUE
Ice Age: Scrat's Nutty Adventure,Jeu Video,E,TRUE
Marenian Tavern Story: Patty and the Hungry God,Jeu Video,ET,TRUE
Bee Simulator,Jeu Video,E,TRUE
Spirit Hunter: NG,Jeu Video,M,TRUE
Jupiter & Mars,Jeu Video,E,TRUE
Dead by Daylight: Nightmare Edition,Jeu Video,M,TRUE
DOOM Eternal,Jeu Video,M,TRUE
Overpass,Jeu Video,E,FALSE
Death Stranding,Jeu Video,M,TRUE
The Alliance Alive HD Remastered,Jeu Video,ET,TRUE
Trine 4: The Nightmare Prince,Jeu Video,ET,TRUE
Trine Series 1-3,Jeu Video,ET,TRUE
Zombieland Double Tap: Road Trip,Jeu Video,M,TRUE
Sid Meier's Civilization VI,Jeu Video,ET,FALSE
Lifeless Planet: Premier Edition,Jeu Video,T,TRUE
Terminator: Resistance,Jeu Video,M,TRUE
TOKYO GHOUL:re CALL to EXIST,Jeu Video,M,TRUE
The Fisherman - Fishing Planet,Jeu Video,E,FALSE
Battle Princess Madelyn,Jeu Video,ET,TRUE
DayZ,Jeu Video,M,TRUE
Paranoia: Happiness is Mandatory,Jeu Video,T,TRUE
Pillars of Eternity II Deadfire Ultimate Edition,Jeu Video,M,TRUE
Street Outlaws: The List,Jeu Video,ET,FALSE
The Sojourn,Jeu Video,E,FALSE
Wandersong,Jeu Video,ET,TRUE
Wattam,Jeu Video,ET,TRUE
Greedfall,Jeu Video,M,TRUE
Torchlight II,Jeu Video,T,TRUE
MARS ODYSSEY,Jeu Video,E,FALSE
Super Street: The Game,Jeu Video,T,FALSE
Asdivine Hearts II,Jeu Video,T,TRUE
FIFA 20,Jeu Video,E,FALSE
Blacksad: Under the Skin,Jeu Video,M,TRUE
Farmer's Dynasty,Jeu Video,E,FALSE
Gunvolt Chronicles: Luminous Avenger iX,Jeu Video,T,TRUE
Los Sims™ 4 Vida Isleña,Jeu Video,T,FALSE
Los Sims™ 4,Jeu Video,T,FALSE
Northgard,Jeu Video,ET,TRUE
Shadowgate,Jeu Video,T,TRUE
Call of Duty®: Modern Warfare®,Jeu Video,M,TRUE
Concrete Genie,Jeu Video,ET,TRUE
GRID,Jeu Video,E,FALSE
NHL 20,Jeu Video,ET,TRUE
Neverwinter Nights Enhanced Edition,Jeu Video,M,TRUE
INSIDE,Jeu Video,M,TRUE
Rugby 20,Jeu Video,E,FALSE
Disney Classic Games: Aladdin and The Lion King,Jeu Video,ET,FALSE
CarX Drift Racing Online,Jeu Video,E,FALSE
My Friend Pedro ,Jeu Video,M,TRUE
Sayonara Wild Hearts,Jeu Video,ET,TRUE
The Sims™ 4 Realm of Magic,Jeu Video,T,FALSE
Utawarerumono: ZAN,Jeu Video,T,FALSE
Marvel's Spider-Man,Jeu Video,T,TRUE
NBA 2K20,Jeu Video,E,FALSE
Aggelos,Jeu Video,E,TRUE
TOKYO CHRONOS,Jeu Video,M,TRUE
WRC 8 FIA World Rally Championship,Jeu Video,E,FALSE
Stranded Sails - Explorers of the Cursed Islands,Jeu Video,ET,TRUE
