id_media,titre,type_media,classification_age,est_violent
78,The Walking Dead: Saints & Sinners - Complete Edition,Jeu Video,M,1
79,Mighty Gunvolt Burst,Jeu Video,E,1
80,Santa's Xmas Adventure,Jeu Video,E,0
81,Train Sim World®2: Collector's Edition,Jeu Video,E,0
82,Ys IX: Monstrum Nox,Jeu Video,T,1
83,CROSSING SOULS,Jeu Video,M,1
84,Spacebase Startopia,Jeu Video,ET,1
85,TRANSFORMERS:BATTLEGROUNDS,Jeu Video,ET,1
86,Family Feud,Jeu Video,E,0
87,Taxi Chaos,Jeu Video,ET,1
88,Remothered: Broken Porcelain,Jeu Video,M,1
89,Katamari Damacy REROLL,Jeu Video,E,1
90,Puyo Puyo Tetris 2,Jeu Video,ET,0
91,Mortal Shell,Jeu Video,M,1
92,NHL 21,Jeu Video,ET,1
93,NHL 21 Great Eight Edition,Jeu Video,ET,1
94,Fishing Sim World: Bass Pro Shops Edition,Jeu Video,E,0
95,THE KING OF FIGHTERS 2000,Jeu Video,T,0
96,ROBOTICS;NOTES DaSH,Jeu Video,T,1
97,Sackboy: A Big Adventure,Jeu Video,E,1
98,Little Nightmares II,Jeu Video,T,1
99,DIRT 5,Jeu Video,E,0
100,FIFA 21,Jeu Video,E,0
101,Supermarket Shriek,Jeu Video,ET,1
102,Hotline Miami,Jeu Video,M,1
103,OLIJA,Jeu Video,T,1
104,Monster Truck Championship,Jeu Video,E,0
105,Nickelodeon Kart Racers 2: Grand Prix,Jeu Video,E,1
106,Hotline Miami 2: Wrong Number,Jeu Video,M,1
107,Scott Pilgrim vs. the World: The Game - Complete Edition,Jeu Video,T,1
108,Star Wars: Squadrons,Jeu Video,T,1
109,The Walking Dead Onslaught,Jeu Video,M,1
110,Cobra Kai: The Karate Kid Saga Continues,Jeu Video,T,1
111,Freedom Finger,Jeu Video,M,1
112,Just Dance 2021,Jeu Video,E,0
113,The Dark Pictures Anthology: Little Hope,Jeu Video,M,1
114,Peaky Blinders: Mastermind,Jeu Video,M,1
115,Black Desert Prestige Edition,Jeu Video,T,1
116,Kaze and the Wild Masks,Jeu Video,E,1
117,Neon City Riders,Jeu Video,ET,1
118,Neverending Nightmares,Jeu Video,M,1
119,New Super Lucky's Tale,Jeu Video,E,1
120,THE LAST BLADE 2,Jeu Video,T,1
121,Yaga,Jeu Video,T,1
122,Etherborn,Jeu Video,E,0
123,Ben 10: Power Trip,Jeu Video,ET,0
124,Goosebumps Dead of Night,Jeu Video,ET,1
125,Port Royale 4,Jeu Video,ET,0
126,My Universe : School teacher,Jeu Video,E,0
127,"Sakuna: Of Rice and Ruin ""Divine Edition""",Jeu Video,T,1
128,Untitled Goose Game,Jeu Video,E,0
129,Immortals Fenyx Rising,Jeu Video,T,0
130,Dying Light: The Following - Enhanced Edition,Jeu Video,M,1
131,Zengeon,Jeu Video,T,1
132,The Pathless,Jeu Video,ET,1
133,Human Fall Flat,Jeu Video,E,0
134,Power Rangers: Battle for the Grid - Collector's Edition,Jeu Video,T,1
135,1971 Project Helios,Jeu Video,T,0
136,Destiny 2: Beyond Light,Jeu Video,T,1
137,Tin and Kuna,Jeu Video,E,1
138,Les Sims™ 4 Star Wars™: Voyage sur Batuu,Jeu Video,T,0
139,Los Sims™ 4 Star Wars™: Viaje a Batuu,Jeu Video,T,0
140,The Sims™ 4 Star Wars™: Journey to Batuu,Jeu Video,T,0
141,Assassin's Creed Valhalla,Jeu Video,M,1
142,Call of Duty®: Black Ops Cold War,Jeu Video,M,1
143,Tony Stewart's All-American Racing / Tony Stewart's Sprint Car Racing (Bundle),Jeu Video,E,0
144,G.I. Joe: Operation Blackout,Jeu Video,T,1
145,Speed 3: Grand Prix,Jeu Video,E,1
146,Tennis World Tour 2,Jeu Video,E,0
147,WRC 9 FIA World Rally Championship,Jeu Video,E,0
148,Earth Defense Force 5,Jeu Video,T,1
149,GAROU: MARK OF THE WOLVES™,Jeu Video,T,0
150,One Step From Eden,Jeu Video,ET,1
151,Return of the Obra Dinn,Jeu Video,M,1
152,STAR WARS™ Episode I Racer,Jeu Video,E,1
153,The Dark Crystal: Age of Resistance Tactics,Jeu Video,ET,1
154,Skydrift Infinity,Jeu Video,ET,1
155,Volgarr The Viking,Jeu Video,T,1
156,Madden NFL 21,Jeu Video,E,0
157,Marvel's Spider-Man: Game of the Year Edition,Jeu Video,T,1
158,Wasteland 3,Jeu Video,M,1
159,Darkwood,Jeu Video,M,1
160,Watch Dogs Legion,Jeu Video,M,1
161,Death end re;Quest 2,Jeu Video,M,1
162,Destroy All Humans!,Jeu Video,T,1
163,Giraffe and Annika,Jeu Video,E,0
164,MX vs ATV All Out 2020 Pro Nationals Edition,Jeu Video,ET,1
165,Fuser,Jeu Video,T,1
166,Dead Cells: Prisoner's Edition,Jeu Video,T,1
167,Mystik Belle,Jeu Video,ET,1
168,Train Sim World®2,Jeu Video,E,0
169,Mafia: Definitive Edition,Jeu Video,M,1
170,Kingdoms of Amalur: Re-Reckoning,Jeu Video,M,1
171,Street Power Football,Jeu Video,E,0
172,Street Power Game,Jeu Video,E,0
173,Street Power Soccer,Jeu Video,E,0
174,Shantae and the Seven Sirens,Jeu Video,T,0
175,Atelier Ryza 2: Lost Legends & the Secret Fairy,Jeu Video,T,1
176,Nexomon: Extinction,Jeu Video,ET,1
177,The Legend of Heroes: Trails of Cold Steel IV,Jeu Video,T,1
178,Streets of Rogue,Jeu Video,T,1
179,RIDE 4,Jeu Video,E,0
180,eFootball PES 2021 Season Update,Jeu Video,E,0
181,The Survivalists,Jeu Video,ET,1
182,Sakuna: Of Rice and Ruin,Jeu Video,T,1
183,NBA 2K21,Jeu Video,E,0
184,Effie,Jeu Video,ET,1
185,Umihara Kawase BaZooKa,Jeu Video,ET,1
186,Hero Must Die. again,Jeu Video,T,1
187,Ion Fury,Jeu Video,M,1
188,Ary and the Secret of Seasons,Jeu Video,ET,1
189,The Sims™ 4 Nifty Knitting,Jeu Video,T,0
190,Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Jeu Video,T,1
191,Fall Guys,Jeu Video,E,1
192,Outriders,Jeu Video,M,1
193,Telling Lies,Jeu Video,M,0
194,Yakuza: Like a Dragon,Jeu Video,M,1
195,Graveyard Keeper,Jeu Video,T,1
196,Project CARS 3,Jeu Video,E,0
197,Maid of Sker,Jeu Video,M,1
198,Asterix & Obelix XXL 3 – The Crystal Menhir,Jeu Video,ET,0
199,SUPERHOT: MIND CONTROL DELETE,Jeu Video,T,1
200,Rocket Arena,Jeu Video,T,1
201,Rocket Arena Mythic Edition,Jeu Video,T,1
202,Skully,Jeu Video,E,1
203,void tRrLM(); //Void Terrarium,Jeu Video,T,1
204,Bladed Fury,Jeu Video,T,1
205,UFC 4,Jeu Video,T,1
206,Cloudpunk,Jeu Video,M,0
207,CrossCode,Jeu Video,T,1
208,Seek Hearts,Jeu Video,ET,1
209,Race with Ryan Road Trip Deluxe Edition,Jeu Video,E,0
210,HITMAN 2: Free Starter Pack,Jeu Video,M,1
211,Iris.Fall,Jeu Video,E,1
212,Mutazione,Jeu Video,T,1
213,Is It Wrong to Try to Pick Up Girls in a Dungeon? Familia Myth Infinite Combate,Jeu Video,T,1
214,My Baby,Jeu Video,E,0
215,KINGDOM HEARTS Melody of Memory,Jeu Video,ET,1
216,Blair Witch,Jeu Video,M,1
217,Riverbond,Jeu Video,ET,1
218,13 Sentinels: Aegis Rim,Jeu Video,T,1
219,No Straight Roads,Jeu Video,ET,1
220,Paper Beast,Jeu Video,ET,1
221,Star Wars Jedi Knight: Jedi Academy,Jeu Video,T,1
222,THE KING OF FIGHTERS™ '98 ULTIMATE MATCH,Jeu Video,T,0
223,Crash Bandicoot™ 4: It's About Time,Jeu Video,ET,0
224,Holy Potatoes! Compendium,Jeu Video,ET,1
225,Brigandine: The Legend of Runersia,Jeu Video,T,1
226,Escape Game Fort Boyard,Jeu Video,ET,1
227,Tales from the Borderlands,Jeu Video,M,1
228,Hunting Simulator 2,Jeu Video,T,1
229,Ghost of Tsushima,Jeu Video,M,1
230,SuperMash,Jeu Video,ET,1
231,Crysis Remastered,Jeu Video,M,1
232,Disintegration,Jeu Video,T,1
233,F1 2020,Jeu Video,E,0
234,F1 2020 Deluxe Schumacher Edition,Jeu Video,E,0
235,Spirit of the North,Jeu Video,E,0
236,Asdivine Kamura,Jeu Video,ET,1
237,The Last of Us Part II,Jeu Video,M,1
238,STAR WARS™ Jedi Knight II - Jedi Outcast™,Jeu Video,T,1
239,The Sims™ 4 Eco Lifestyle,Jeu Video,T,0
240,The Catch: Carp & Coarse,Jeu Video,E,0
241,PGA TOUR 2K21,Jeu Video,E,0
242,Skelattack,Jeu Video,ET,1
243,Inertial Drift,Jeu Video,E,0
244,Pathfinder: Kingmaker - Definitive Edition,Jeu Video,T,1
245,Tour de France 2020,Jeu Video,E,0
246,Assetto Corsa Competizione,Jeu Video,E,0
247,Dark Quest 2,Jeu Video,T,1
248,Samurai Shodown V Special,Jeu Video,M,1
249,Samurai Shodown VI,Jeu Video,T,0
250,NASCAR Heat 5,Jeu Video,E,0
251,Skater XL,Jeu Video,E,1
252,Blaster Master Zero,Jeu Video,E,1
253,Blaster Master Zero 2,Jeu Video,ET,1
254,Bounty Battle,Jeu Video,ET,1
255,Utawarerumono: Prelude to the Fallen,Jeu Video,M,1
256,Clustertruck,Jeu Video,E,1
257,The Elder Scrolls Online: Greymoor,Jeu Video,M,1
258,Call of Duty: Warzone,Jeu Video,M,1
259,Kandagawa Jet Girls,Jeu Video,T,1
260,"Kandagawa Jet Girls ""Racing Hearts Edition""",Jeu Video,T,1
261,Maneater,Jeu Video,M,1
262,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,Jeu Video,ET,0
263,Tony Hawk's Pro Skater 1 and 2,Jeu Video,T,0
264,Mafia II: Definitive Edition,Jeu Video,M,1
265,Mafia III: Definitive Edition,Jeu Video,M,1
266,Apex Legends - Pathfinder Edition,Jeu Video,T,1
267,Golf With Your Friends,Jeu Video,ET,1
268,Little Town Hero,Jeu Video,ET,1
269,Budget Cuts,Jeu Video,T,1
270,Descenders,Jeu Video,E,0
271,Dungeon of the Endless,Jeu Video,T,1
272,Regions of Ruin,Jeu Video,ET,1
273,Bonds of the Skies,Jeu Video,ET,1
274,Is It Wrong to Try to Pick Up Girls in a Dungeon? Infinite Combate,Jeu Video,T,1
275,Mortal Kombat 11 Aftermath,Jeu Video,M,1
276,Cyberpunk 2077,Jeu Video,M,1
277,Kingdom Two Crowns,Jeu Video,ET,1
278,Warborn,Jeu Video,ET,1
279,Pig Eat Ball,Jeu Video,ET,0
280,The MISSING: J.J. Macfield and the Island of Memories,Jeu Video,M,1
281,WWE 2K Battlegrounds,Jeu Video,T,1
282,CAPTAIN TSUBASA: RISE OF NEW CHAMPIONS,Jeu Video,ET,1
283,Azure Striker GUNVOLT: STRIKER PACK,Jeu Video,T,1
284,MARVEL'S AVENGERS,Jeu Video,T,1
285,Trollhunters Defenders of Arcadia,Jeu Video,ET,1
286,Let's Create! Pottery VR,Jeu Video,E,0
287,Creature in the Well,Jeu Video,E,1
288,SWORD ART ONLINE Alicization Lycoris,Jeu Video,T,1
289,Frane: Dragons' Odyssey,Jeu Video,T,1
290,Disaster Report 4: Summer Memories,Jeu Video,T,1
291,LA-MULANA 1 & 2,Jeu Video,T,1
292,Predator: Hunting Grounds,Jeu Video,M,1
293,Rápidos y Furiosos: Encrucijada,Jeu Video,T,1
294,Saints Row: The Third Remastered,Jeu Video,M,1
295,Moving Out,Jeu Video,E,1
296,Call of Duty®: Modern Warfare 2 Campaign Remastered,Jeu Video,M,1
297,Persona 5 Royal,Jeu Video,M,1
298,SAMURAI SHODOWN NEOGEO COLLECTION,Jeu Video,T,1
299,SnowRunner,Jeu Video,E,0
300,Streets of Rage 4,Jeu Video,T,0
301,Those Who Remain,Jeu Video,M,1
302,Worse Than Death,Jeu Video,M,1
303,DOOM 64,Jeu Video,M,1
304,John Wick Hex,Jeu Video,M,1
305,INDIGO PROPHECY,Jeu Video,M,1
306,The Sims™ 4 Vampires,Jeu Video,T,0
307,Cat Quest II,Jeu Video,ET,1
308,Google Tilt Brush,Jeu Video,T,1
309,Immortal Realms: Vampire Wars,Jeu Video,M,1
310,Yu-Gi-Oh! Legacy of the Duelist: Link Evolution,Jeu Video,T,1
311,Shikhondo: Soul Eater,Jeu Video,T,1
312,GORN,Jeu Video,M,1
313,R.B.I. Baseball '20,Jeu Video,E,0
314,COMMANDOS 2 & PRAETORIANS: HD REMASTER DOUBLE PACK,Jeu Video,T,1
315,Void Bastards,Jeu Video,M,1
316,Daymare: 1998 Black Edition,Jeu Video,M,1
317,TT Isle of Man - Ride on the Edge 2,Jeu Video,E,0
318,Under Night In-Birth Exe:Late[cl-r],Jeu Video,T,1
319,Biped,Jeu Video,E,0
320,ROBOTICS;NOTES ELITE,Jeu Video,T,1
321,Fishing Sim World: Pro Tour Collector's Edition,Jeu Video,E,0
322,Fast & Furious: Crossroads,Jeu Video,T,1
323,Cooking Mama: Cookstar,Jeu Video,E,0
324,The Wonderful 101: Remastered,Jeu Video,T,1
325,MotoGP20,Jeu Video,E,0
326,Bayonetta,Jeu Video,M,1
327,Vanquish,Jeu Video,M,1
328,MLB The Show 20,Jeu Video,E,0
329,Resident Evil 3,Jeu Video,M,1
330,-Klaus-,Jeu Video,ET,1
331,Sephirothic Stories,Jeu Video,ET,1
332,Tamashii,Jeu Video,M,1
333,Darksiders Genesis,Jeu Video,T,1
334,Ikaruga,Jeu Video,ET,1
335,Real Heroes: Firefighter,Jeu Video,ET,1
336,Mega Party: A Tootuff Adventure,Jeu Video,T,1
337,Apex Legends - Octane Edition,Jeu Video,T,1
338,Marvel's Iron Man VR,Jeu Video,T,1
339,"Ys: Memories of Celceta ""Timeless Adventurer Edition""",Jeu Video,T,1
340,GALAK-Z: The Void,Jeu Video,ET,1
341,Yakuza 5,Jeu Video,M,1
342,Daymare: 1998,Jeu Video,M,1
343,Sakura Wars,Jeu Video,T,1
344,House Flipper,Jeu Video,E,0
345,Nioh 2,Jeu Video,M,1
346,ROMANCE OF THE THREE KINGDOMS XIV,Jeu Video,ET,0
347,ADK DAMASHII,Jeu Video,T,1
348,Arc of Alchemist,Jeu Video,ET,1
349,Outer Wilds,Jeu Video,ET,1
350,Doug Flutie's Maximum Football 2019,Jeu Video,E,0
351,The Sims™ 4 Tiny Living,Jeu Video,T,0
352,Ys: Memories of Celceta,Jeu Video,T,1
353,"Warhammer 40,000: Mechanicus",Jeu Video,T,1
354,Arcade Spirits,Jeu Video,T,1
355,Dreams,Jeu Video,T,1
356,Gigantosaurus The Game,Jeu Video,E,1
357,Fallout 76 Wastelanders,Jeu Video,M,1
358,FAIRY TAIL,Jeu Video,T,1
359,Fortnite: Darkfire Bundle,Jeu Video,T,1
360,Fu'un Super Combo,Jeu Video,T,1
361,7 Days to Die,Jeu Video,M,1
362,Crypt of the NecroDancer,Jeu Video,T,1
363,SuperEpic: The Entertainment War,Jeu Video,ET,1
364,1001 Spikes,Jeu Video,T,1
365,VA-11 HALL-A: Cyberpunk Bartender Action,Jeu Video,M,0
366,One Piece: Pirate Warriors 4,Jeu Video,T,0
367,ONE PUNCH MAN: A HERO NOBODY KNOWS,Jeu Video,T,1
368,FINAL FANTASY VII Remake,Jeu Video,T,0
369,Five Nights at Freddy's: Help Wanted,Jeu Video,T,1
370,Street Fighter V: Champion Edition,Jeu Video,T,1
371,Dynasty Warriors 9 Special Scenario Edition,Jeu Video,T,0
372,Dynasty Warriors 9 Special Weapon Edition,Jeu Video,T,0
373,Langrisser I & II,Jeu Video,T,1
374,Life is Strange 2 Complete Season,Jeu Video,M,1
375,Remnant: From the Ashes,Jeu Video,M,1
376,DOOM Slayers Collection,Jeu Video,M,1
377,Azur Lane: Crosswave,Jeu Video,T,1
378,Desperados III,Jeu Video,M,1
379,Monster Energy Supercross - The Official Videogame 3,Jeu Video,E,0
380,MY HERO ONE'S JUSTICE 2,Jeu Video,T,1
381,Ancestors: The Humankind Odyssey,Jeu Video,T,1
382,AVICII Invector,Jeu Video,T,0
383,Super Blood Hockey,Jeu Video,M,1
384,Granblue Fantasy: Versus,Jeu Video,T,1
385,Need for Speed HEAT,Jeu Video,T,0
386,Journey to the Savage Planet,Jeu Video,T,1
387,LA-MULANA 1 & 2 Hidden Treasures Edition,Jeu Video,T,1
388,Polybius,Jeu Video,ET,1
389,Trials of Mana,Jeu Video,T,1
390,Children of Zodiarcs,Jeu Video,T,1
391,Illusion of L'Phalcia,Jeu Video,ET,1
392,Legend of the Tetrarchs,Jeu Video,ET,1
393,The Escapists,Jeu Video,T,1
394,Worms Battlegrounds,Jeu Video,ET,1
395,DCL - The Game,Jeu Video,E,0
396,Shovel Knight: Treasure Trove,Jeu Video,E,1
397,AO Tennis 2,Jeu Video,E,0
398,Costume Quest 2,Jeu Video,ET,1
399,Cities: Skylines Parklife Edition,Jeu Video,E,0
400,Sniper Ghost Warrior Contracts,Jeu Video,M,1
401,Slayaway Camp: Butcher´s cut,Jeu Video,M,1
402,DRAGON BALL Z: KAKAROT,Jeu Video,T,0
403,Astroneer,Jeu Video,E,1
404,Jumanji The Video Game,Jeu Video,T,1
405,Les Sims™ 4 Á la fac,Jeu Video,T,0
406,Los Sims™ 4 Dias de Universidad,Jeu Video,T,0
407,Star Wars Jedi: Fallen Order,Jeu Video,T,1
408,The Sims™ 4 Discover University,Jeu Video,T,0
409,Garfield Kart: Furious Racing,Jeu Video,E,0
410,Ghost Parade,Jeu Video,ET,1
411,Offroad Racing - Buggy X ATV X Moto,Jeu Video,E,0
412,The Unicorn Princess,Jeu Video,E,0
413,Ancestors Legacy,Jeu Video,M,1
414,Away: Journey to the Unexpected,Jeu Video,T,1
415,MechaNika,Jeu Video,M,1
416,Valfaris,Jeu Video,M,1
417,fault - milestone one,Jeu Video,T,1
418,Alvastia Chronicles,Jeu Video,ET,1
419,Stranger Things 3: The Game,Jeu Video,T,1
420,Chronos: Before the Ashes,Jeu Video,T,1
421,Mighty Switch Force! Collection,Jeu Video,ET,1
422,Conception PLUS: Maidens of the Twelve Stars,Jeu Video,M,1
423,Deliver Us The Moon,Jeu Video,T,1
424,Golem,Jeu Video,T,1
425,Monkey King Hero is Back,Jeu Video,T,1
426,The Lord of the Rings Living Card Game,Jeu Video,ET,1
427,Skulls of the Shogun : Bone-a-Fide Edition,Jeu Video,T,1
428,Blasphemous,Jeu Video,M,1
429,GALAK-Z,Jeu Video,ET,1
430,Dusk Diver,Jeu Video,T,1
431,Race with Ryan,Jeu Video,E,0
432,Siralim 3,Jeu Video,T,1
433,"Soccer, Tactics & Glory",Jeu Video,E,0
434,Two Point Hospital,Jeu Video,ET,1
435,Yakuza 4,Jeu Video,M,1
436,Heroland,Jeu Video,T,1
437,Heroland - 'Knowble Edition',Jeu Video,T,1
438,NARCOS: Rise of the Cartels,Jeu Video,M,1
439,Umihara Kawase Fresh!,Jeu Video,ET,1
440,BoxVR,Jeu Video,ET,0
441,Raging Loop,Jeu Video,M,1
442,The Outer Worlds,Jeu Video,M,1
443,Hellmut - The Badass From Hell TM,Jeu Video,T,1
444,World of Warships Legends: Firepower Deluxe Edition,Jeu Video,T,1
445,Beholder 2,Jeu Video,M,1
446,Minotaur Arcade Vol. 1,Jeu Video,ET,1
447,Baldur's Gate: Enhanced Edition / Baldur's Gate II: Enhanced Edition,Jeu Video,T,0
448,Destiny Connect: Tick-Tock Travelers,Jeu Video,ET,1
449,Apex Legends - Bloodhound Edition,Jeu Video,T,1
450,Apex Legends - Lifeline Edition,Jeu Video,T,1
451,Ice Age: Scrat's Nutty Adventure,Jeu Video,E,1
452,Marenian Tavern Story: Patty and the Hungry God,Jeu Video,ET,1
453,Bee Simulator,Jeu Video,E,1
454,Spirit Hunter: NG,Jeu Video,M,1
455,Jupiter & Mars,Jeu Video,E,1
456,Dead by Daylight: Nightmare Edition,Jeu Video,M,1
457,DOOM Eternal,Jeu Video,M,1
458,Overpass,Jeu Video,E,0
459,Death Stranding,Jeu Video,M,1
460,The Alliance Alive HD Remastered,Jeu Video,ET,1
461,Trine 4: The Nightmare Prince,Jeu Video,ET,1
462,Trine Series 1-3,Jeu Video,ET,1
463,Zombieland Double Tap: Road Trip,Jeu Video,M,1
464,Sid Meier's Civilization VI,Jeu Video,ET,0
465,Lifeless Planet: Premier Edition,Jeu Video,T,1
466,Terminator: Resistance,Jeu Video,M,1
467,TOKYO GHOUL:re CALL to EXIST,Jeu Video,M,1
468,The Fisherman - Fishing Planet,Jeu Video,E,0
469,Battle Princess Madelyn,Jeu Video,ET,1
470,DayZ,Jeu Video,M,1
471,Paranoia: Happiness is Mandatory,Jeu Video,T,1
472,Pillars of Eternity II Deadfire Ultimate Edition,Jeu Video,M,1
473,Street Outlaws: The List,Jeu Video,ET,0
474,The Sojourn,Jeu Video,E,0
475,Wandersong,Jeu Video,ET,1
476,Wattam,Jeu Video,ET,1
477,Greedfall,Jeu Video,M,1
478,Torchlight II,Jeu Video,T,1
479,MARS ODYSSEY,Jeu Video,E,0
480,Super Street: The Game,Jeu Video,T,0
481,Asdivine Hearts II,Jeu Video,T,1
482,FIFA 20,Jeu Video,E,0
483,Blacksad: Under the Skin,Jeu Video,M,1
484,Farmer's Dynasty,Jeu Video,E,0
485,Gunvolt Chronicles: Luminous Avenger iX,Jeu Video,T,1
486,Los Sims™ 4 Vida Isleña,Jeu Video,T,0
487,Los Sims™ 4,Jeu Video,T,0
488,Northgard,Jeu Video,ET,1
489,Shadowgate,Jeu Video,T,1
490,Call of Duty®: Modern Warfare®,Jeu Video,M,1
491,Concrete Genie,Jeu Video,ET,1
492,GRID,Jeu Video,E,0
493,NHL 20,Jeu Video,ET,1
494,Neverwinter Nights Enhanced Edition,Jeu Video,M,1
495,INSIDE,Jeu Video,M,1
496,Rugby 20,Jeu Video,E,0
497,Disney Classic Games: Aladdin and The Lion King,Jeu Video,ET,0
498,CarX Drift Racing Online,Jeu Video,E,0
499,My Friend Pedro,Jeu Video,M,1
500,Sayonara Wild Hearts,Jeu Video,ET,1
501,The Sims™ 4 Realm of Magic,Jeu Video,T,0
502,Utawarerumono: ZAN,Jeu Video,T,0
503,Marvel's Spider-Man,Jeu Video,T,1
504,NBA 2K20,Jeu Video,E,0
505,Aggelos,Jeu Video,E,1
506,TOKYO CHRONOS,Jeu Video,M,1
507,WRC 8 FIA World Rally Championship,Jeu Video,E,0
508,Stranded Sails - Explorers of the Cursed Islands,Jeu Video,ET,1
509,Plants vs. Zombies Battle for Neighborville,Jeu Video,ET,1
510,Plants vs. Zombies: La Batalla Por Neighborville,Jeu Video,ET,1
511,Amoeba Battle,Jeu Video,E,1
512,Mega Man Zero/ZX Legacy Collection,Jeu Video,T,1
513,VR Ping Pong Pro,Jeu Video,E,0
514,Corpse Killer,Jeu Video,M,1
515,Timespinner,Jeu Video,T,1
516,Train Sim World 2020 Collector's Edition,Jeu Video,E,0
517,Forager,Jeu Video,ET,1
518,Everspace: Stellar Edition,Jeu Video,T,1
519,Children of Morta,Jeu Video,T,1
520,Let's Sing Country,Jeu Video,T,1
521,Ni No Kuni: Wrath of the White Witch Remastered,Jeu Video,ET,1
522,Pool Nation,Jeu Video,ET,0
523,Red Faction,Jeu Video,M,1
524,Risk of Rain,Jeu Video,ET,1
525,Risk of Rain 2,Jeu Video,T,1
526,Slay the Spire,Jeu Video,ET,1
527,Atelier Ryza: Ever Darkness & the Secret Hideout,Jeu Video,T,1
528,Sparklite,Jeu Video,ET,1
