id_individu,pseudo,age,sexe,score_sante_mentale,score_qualite_sommeil,score_sante_physique
73,Joueur73,17,Femme,1,6,10
74,Joueur74,20,Homme,7,4,10
75,Joueur75,19,Homme,8,8,10
76,Joueur76,33,Homme,5,6,10
77,Joueur77,17,Homme,0,4,8
78,Joueur78,16,Femme,4,4,9
79,Joueur79,19,Non-binaire,1,4,10
80,Joueur80,16,Femme,4,4,8
81,Joueur81,22,Femme,2,2,10
82,Joueur82,17,Femme,2,6,8
83,Joueur83,18,Homme,1,1,10
84,Joueur84,20,Homme,6,6,10
85,Joueur85,26,Homme,8,8,10
86,Joueur86,22,Homme,7,4,10
87,Joueur87,14,Homme,0,6,10
88,Joueur88,17,Homme,7,6,8
89,Joueur89,18,Femme,7,4,10
90,Joueur90,22,Femme,2,6,10
91,Joueur91,20,Homme,0,4,9
92,Joueur92,17,Femme,4,6,8
93,Joueur93,26,Femme,8,8,10
94,Joueur94,21,Femme,1,6,10
95,Joueur95,22,Homme,8,6,10
96,Joueur96,19,Homme,3,4,8
97,Joueur97,19,Homme,4,6,10
98,Joueur98,23,Homme,2,4,10
99,Joueur99,31,Homme,1,6,10
100,Joueur100,27,Femme,0,2,10
101,Joueur101,21,Homme,8,6,10
102,Joueur102,19,Homme,6,8,10
103,Joueur103,19,Femme,2,4,10
104,Joueur104,19,Femme,4,2,8
105,Joueur105,21,Femme,8,6,10
106,Joueur106,17,Femme,2,2,10
107,Joueur107,14,Femme,0,8,10
108,Joueur108,19,Femme,1,4,8
109,Joueur109,19,Homme,2,6,10
110,Joueur110,26,Homme,0,4,8
111,Joueur111,16,Femme,7,8,10
112,Joueur112,31,Femme,7,6,8
113,Joueur113,16,Homme,3,6,10
114,Joueur114,20,Femme,0,2,8
115,Joueur115,23,Homme,7,6,10
116,Joueur116,22,Femme,1,2,10
117,Joueur117,15,Homme,0,2,9
118,Joueur118,15,Homme,3,4,9
119,Joueur119,16,Non-binaire,2,6,10
120,Joueur120,19,Homme,7,4,10
121,Joueur121,23,Homme,5,2,8
122,Joueur122,17,Homme,0,4,9
123,Joueur123,18,Homme,7,6,10
124,Joueur124,14,Femme,4,4,8
125,Joueur125,20,Femme,0,8,10
126,Joueur126,19,Homme,7,4,10
127,Joueur127,22,Homme,2,4,10
128,Joueur128,19,Femme,7,2,10
129,Joueur129,35,Homme,8,8,10
130,Joueur130,18,Femme,0,6,10
131,Joueur131,20,Femme,3,8,8
132,Joueur132,16,Homme,3,6,10
133,Joueur133,13,Homme,3,4,10
134,Joueur134,26,Homme,0,4,10
135,Joueur135,16,Femme,6,2,10
136,Joueur136,24,Homme,0,8,8
137,Joueur137,19,Homme,3,4,9
138,Joueur138,19,Homme,5,2,8
139,Joueur139,20,Homme,1,4,9
140,Joueur140,24,Homme,4,1,8
141,Joueur141,15,Homme,3,6,8
142,Joueur142,21,Homme,1,4,8
143,Joueur143,22,Homme,4,4,10
144,Joueur144,20,Homme,6,6,10
145,Joueur145,21,Homme,5,1,10
146,Joueur146,17,Non-binaire,8,6,10
147,Joueur147,18,Homme,0,8,8
148,Joueur148,30,Femme,8,2,8
149,Joueur149,18,Homme,7,4,10
150,Joueur150,19,Homme,0,2,10
151,Joueur151,19,Homme,2,4,10
152,Joueur152,16,Homme,0,6,10
153,Joueur153,16,Femme,7,6,10
154,Joueur154,17,Homme,0,1,10
155,Joueur155,17,Homme,4,1,9
156,Joueur156,20,Homme,4,1,10
157,Joueur157,16,Femme,8,6,10
158,Joueur158,22,Homme,0,4,10
159,Joueur159,25,Non-binaire,2,8,10
160,Joueur160,18,Homme,2,4,8
161,Joueur161,19,Homme,0,6,9
162,Joueur162,27,Homme,7,2,10
163,Joueur163,22,Femme,4,6,9
164,Joueur164,18,Homme,2,4,8
165,Joueur165,21,Femme,2,4,9
166,Joueur166,18,Homme,0,4,8
167,Joueur167,21,Homme,2,6,10
168,Joueur168,25,Homme,8,6,10
169,Joueur169,21,Homme,5,2,8
170,Joueur170,23,Homme,8,4,10
171,Joueur171,21,Homme,8,6,10
172,Joueur172,24,Homme,2,6,10
173,Joueur173,21,Homme,1,2,8
174,Joueur174,22,Homme,0,4,9
175,Joueur175,25,Homme,0,6,10
176,Joueur176,19,Femme,2,8,10
177,Joueur177,19,Homme,7,6,10
178,Joueur178,21,Homme,1,8,10
179,Joueur179,22,Femme,0,4,8
180,Joueur180,19,Femme,7,8,10
181,Joueur181,22,Femme,1,4,9
182,Joueur182,17,Femme,1,4,8
183,Joueur183,28,Homme,2,2,10
184,Joueur184,19,Homme,1,6,10
185,Joueur185,24,Homme,2,2,9
186,Joueur186,19,Femme,4,2,10
187,Joueur187,16,Femme,7,6,10
188,Joueur188,24,Homme,0,2,10
189,Joueur189,21,Homme,1,6,10
190,Joueur190,17,Homme,1,4,9
191,Joueur191,18,Homme,8,4,10
192,Joueur192,20,Homme,1,8,10
193,Joueur193,18,Femme,3,8,10
194,Joueur194,24,Homme,1,2,8
195,Joueur195,21,Femme,1,4,10
196,Joueur196,19,Homme,2,4,10
197,Joueur197,20,Homme,1,2,8
198,Joueur198,24,Femme,3,6,10
199,Joueur199,18,Homme,4,4,10
200,Joueur200,21,Femme,2,6,10
201,Joueur201,27,Homme,7,6,10
202,Joueur202,16,Homme,0,4,8
203,Joueur203,21,Homme,0,2,8
204,Joueur204,22,Homme,8,8,10
205,Joueur205,19,Femme,1,6,10
206,Joueur206,14,Femme,1,4,10
207,Joueur207,21,Homme,2,8,10
208,Joueur208,20,Homme,2,2,10
209,Joueur209,27,Homme,9,4,10
210,Joueur210,24,Non-binaire,1,6,9
211,Joueur211,21,Homme,2,6,10
212,Joueur212,21,Homme,0,4,8
213,Joueur213,19,Homme,4,8,10
214,Joueur214,20,Homme,1,6,8
215,Joueur215,19,Femme,7,6,10
216,Joueur216,19,Homme,4,2,8
217,Joueur217,20,Homme,2,6,8
218,Joueur218,22,Homme,1,2,9
219,Joueur219,17,Non-binaire,3,6,8
220,Joueur220,17,Homme,7,6,10
221,Joueur221,20,Homme,6,8,10
222,Joueur222,16,Homme,4,8,10
223,Joueur223,17,Homme,1,8,10
224,Joueur224,20,Femme,7,6,10
225,Joueur225,18,Homme,3,6,10
226,Joueur226,20,Femme,3,8,10
227,Joueur227,19,Homme,6,2,10
228,Joueur228,19,Femme,0,6,10
229,Joueur229,20,Femme,4,4,10
230,Joueur230,19,Homme,6,4,10
231,Joueur231,19,Homme,0,4,10
232,Joueur232,19,Femme,2,6,10
233,Joueur233,27,Homme,0,8,10
234,Joueur234,18,Femme,6,6,8
235,Joueur235,23,Homme,8,6,10
236,Joueur236,21,Homme,4,8,10
237,Joueur237,17,Homme,2,2,10
238,Joueur238,26,Femme,5,4,10
239,Joueur239,20,Femme,6,6,10
240,Joueur240,22,Femme,1,2,8
241,Joueur241,17,Homme,4,8,10
242,Joueur242,24,Homme,8,8,10
243,Joueur243,20,Homme,1,2,9
244,Joueur244,19,Femme,2,4,10
245,Joueur245,33,Femme,7,8,10
246,Joueur246,14,Homme,5,6,10
247,Joueur247,20,Femme,0,6,8
248,Joueur248,20,Homme,2,4,10
249,Joueur249,18,Homme,5,2,10
250,Joueur250,25,Femme,2,4,10
251,Joueur251,16,Homme,4,2,10
252,Joueur252,20,Homme,3,4,10
253,Joueur253,18,Femme,2,2,10
254,Joueur254,23,Femme,9,6,10
255,Joueur255,19,Homme,2,6,10
256,Joueur256,23,Homme,0,6,10
257,Joueur257,20,Homme,0,8,10
258,Joueur258,27,Homme,1,2,8
259,Joueur259,15,Homme,2,6,7
260,Joueur260,13,Femme,7,6,10
261,Joueur261,19,Homme,2,8,10
262,Joueur262,26,Homme,4,6,10
263,Joueur263,26,Femme,2,2,10
264,Joueur264,20,Homme,5,2,9
265,Joueur265,17,Homme,2,2,8
266,Joueur266,16,Homme,2,2,9
267,Joueur267,13,Homme,3,4,8
268,Joueur268,20,Femme,1,2,10
269,Joueur269,32,Femme,1,4,8
270,Joueur270,20,Femme,8,8,10
271,Joueur271,25,Femme,5,2,8
272,Joueur272,30,Homme,2,6,10
273,Joueur273,27,Femme,0,8,10
274,Joueur274,17,Homme,7,6,10
275,Joueur275,25,Femme,0,4,8
276,Joueur276,24,Homme,2,4,10
277,Joueur277,22,Femme,1,8,10
278,Joueur278,19,Femme,1,8,10
279,Joueur279,15,Homme,0,6,10
280,Joueur280,16,Homme,8,6,10
281,Joueur281,26,Femme,7,6,10
282,Joueur282,28,Homme,2,6,10
283,Joueur283,16,Homme,0,8,9
284,Joueur284,17,Homme,0,6,10
285,Joueur285,19,Homme,1,6,8
286,Joueur286,22,Homme,0,8,10
287,Joueur287,20,Homme,8,8,10
288,Joueur288,17,Homme,4,2,10
289,Joueur289,21,Homme,6,6,10
290,Joueur290,21,Femme,2,8,10
291,Joueur291,18,Homme,1,4,10
292,Joueur292,19,Homme,2,6,10
293,Joueur293,20,Homme,2,8,10
294,Joueur294,34,Homme,3,8,10
295,Joueur295,20,Homme,0,6,8
296,Joueur296,19,Femme,2,6,10
297,Joueur297,13,Homme,2,2,8
298,Joueur298,21,Homme,3,2,10
299,Joueur299,20,Homme,0,6,10
300,Joueur300,24,Femme,1,4,8
301,Joueur301,22,Femme,2,4,10
302,Joueur302,17,Homme,2,8,10
303,Joueur303,18,Homme,2,4,10
304,Joueur304,20,Femme,2,1,10
305,Joueur305,19,Homme,6,6,10
306,Joueur306,22,Homme,3,4,8
307,Joueur307,19,Homme,1,4,10
308,Joueur308,19,Homme,2,1,8
309,Joueur309,25,Femme,4,4,10
310,Joueur310,16,Homme,8,6,10
311,Joueur311,19,Femme,6,2,10
312,Joueur312,19,Homme,2,6,10
313,Joueur313,19,Femme,3,2,10
314,Joueur314,30,Homme,7,6,10
315,Joueur315,19,Homme,3,4,10
316,Joueur316,15,Femme,3,8,10
317,Joueur317,18,Homme,3,6,10
318,Joueur318,21,Homme,4,2,10
319,Joueur319,23,Homme,6,6,10
320,Joueur320,30,Homme,0,2,10
321,Joueur321,13,Homme,0,4,8
322,Joueur322,20,Femme,7,8,10
323,Joueur323,16,Homme,6,4,8
324,Joueur324,30,Homme,3,8,10
325,Joueur325,20,Homme,2,4,9
326,Joueur326,20,Homme,1,4,10
327,Joueur327,14,Femme,0,8,7
328,Joueur328,25,Homme,8,6,10
329,Joueur329,20,Femme,7,6,10
330,Joueur330,24,Homme,1,1,10
331,Joueur331,27,Femme,7,2,10
332,Joueur332,20,Femme,1,6,10
333,Joueur333,15,Homme,4,4,10
334,Joueur334,26,Homme,8,8,10
335,Joueur335,18,Femme,2,2,10
336,Joueur336,26,Homme,2,6,10
337,Joueur337,18,Homme,8,8,10
338,Joueur338,23,Femme,2,2,8
339,Joueur339,19,Homme,6,8,10
340,Joueur340,32,Homme,0,4,10
341,Joueur341,24,Homme,2,4,10
342,Joueur342,33,Homme,1,6,10
343,Joueur343,26,Homme,3,4,10
344,Joueur344,19,Homme,4,8,10
345,Joueur345,27,Femme,7,6,10
346,Joueur346,25,Homme,0,2,10
347,Joueur347,17,Homme,7,4,10
348,Joueur348,17,Femme,0,6,9
349,Joueur349,23,Femme,2,2,10
350,Joueur350,20,Homme,3,6,10
351,Joueur351,30,Homme,6,6,9
352,Joueur352,17,Homme,4,6,10
353,Joueur353,19,Homme,2,8,10
354,Joueur354,20,Femme,6,8,10
355,Joueur355,15,Homme,7,6,10
356,Joueur356,19,Femme,2,4,10
357,Joueur357,19,Homme,2,4,8
358,Joueur358,21,Homme,1,8,10
359,Joueur359,23,Femme,0,8,10
360,Joueur360,18,Homme,1,2,10
361,Joueur361,19,Homme,0,2,9
362,Joueur362,22,Homme,2,4,9
363,Joueur363,26,Homme,1,4,8
364,Joueur364,20,Homme,4,4,9
365,Joueur365,17,Homme,5,4,8
366,Joueur366,15,Homme,3,2,8
367,Joueur367,22,Femme,4,4,10
368,Joueur368,14,Femme,0,4,8
369,Joueur369,19,Homme,4,8,10
370,Joueur370,21,Femme,0,4,10
371,Joueur371,20,Femme,9,8,10
372,Joueur372,18,Femme,0,4,10
373,Joueur373,21,Homme,6,4,8
374,Joueur374,21,Femme,6,6,9
375,Joueur375,15,Homme,8,6,10
376,Joueur376,23,Homme,3,1,10
377,Joueur377,22,Homme,4,8,10
378,Joueur378,18,Homme,6,4,10
379,Joueur379,19,Femme,7,6,10
380,Joueur380,18,Homme,1,4,10
381,Joueur381,17,Homme,1,6,10
382,Joueur382,17,Femme,2,1,9
383,Joueur383,18,Homme,2,4,9
384,Joueur384,21,Femme,7,4,10
385,Joueur385,18,Homme,5,6,10
386,Joueur386,19,Femme,6,4,10
387,Joueur387,19,Femme,1,2,10
388,Joueur388,18,Homme,2,6,10
389,Joueur389,19,Femme,7,2,10
390,Joueur390,22,Femme,2,6,10
391,Joueur391,14,Femme,4,4,10
392,Joueur392,26,Homme,6,4,9
393,Joueur393,19,Homme,0,4,8
394,Joueur394,19,Femme,4,6,10
395,Joueur395,26,Femme,0,4,9
396,Joueur396,19,Homme,3,6,8
397,Joueur397,13,Homme,2,8,10
398,Joueur398,21,Homme,1,2,8
399,Joueur399,23,Homme,2,4,10
400,Joueur400,26,Femme,6,4,10
401,Joueur401,20,Homme,4,2,9
402,Joueur402,21,Femme,8,8,10
403,Joueur403,19,Homme,6,6,10
404,Joueur404,23,Homme,2,4,8
405,Joueur405,15,Homme,2,2,8
406,Joueur406,20,Homme,1,4,8
407,Joueur407,18,Homme,2,2,8
408,Joueur408,31,Femme,1,8,10
409,Joueur409,17,Femme,4,8,10
410,Joueur410,35,Femme,8,6,10
411,Joueur411,22,Femme,7,4,10
412,Joueur412,25,Femme,5,4,9
413,Joueur413,16,Homme,6,6,10
414,Joueur414,19,Femme,2,8,10
415,Joueur415,18,Femme,3,4,10
416,Joueur416,17,Homme,4,4,10
417,Joueur417,17,Homme,0,8,10
418,Joueur418,16,Homme,3,4,8
419,Joueur419,31,Femme,2,4,10
420,Joueur420,16,Homme,6,8,10
421,Joueur421,19,Homme,2,6,10
422,Joueur422,23,Homme,0,4,10
423,Joueur423,21,Non-binaire,4,6,10
424,Joueur424,16,Femme,2,6,10
425,Joueur425,20,Homme,2,2,10
426,Joueur426,17,Femme,4,8,10
427,Joueur427,29,Homme,1,8,10
428,Joueur428,22,Homme,6,8,10
429,Joueur429,26,Femme,7,2,10
430,Joueur430,29,Homme,7,8,10
431,Joueur431,22,Homme,4,6,10
432,Joueur432,20,Femme,0,8,10
433,Joueur433,20,Homme,6,6,10
434,Joueur434,18,Homme,4,6,10
435,Joueur435,17,Homme,6,1,8
436,Joueur436,20,Homme,7,6,10
437,Joueur437,23,Homme,4,6,10
438,Joueur438,22,Homme,4,8,10
439,Joueur439,17,Femme,4,6,10
440,Joueur440,32,Femme,8,8,10
441,Joueur441,18,Femme,1,6,10
442,Joueur442,17,Femme,1,6,10
443,Joueur443,14,Homme,5,2,8
444,Joueur444,17,Homme,8,6,10
445,Joueur445,25,Femme,1,6,10
446,Joueur446,18,Homme,1,4,10
447,Joueur447,18,Femme,8,8,10
448,Joueur448,19,Femme,7,8,10
449,Joueur449,21,Homme,3,2,8
450,Joueur450,20,Femme,6,4,10
451,Joueur451,15,Femme,0,2,8
452,Joueur452,21,Homme,0,8,10
453,Joueur453,15,Homme,4,2,10
454,Joueur454,20,Femme,6,4,9
455,Joueur455,26,Homme,4,4,10
456,Joueur456,15,Homme,2,4,10
457,Joueur457,20,Homme,2,6,10
458,Joueur458,30,Homme,2,8,10
459,Joueur459,16,Homme,0,4,8
460,Joueur460,21,Homme,2,2,8
461,Joueur461,16,Homme,4,8,8
462,Joueur462,21,Homme,4,8,10
463,Joueur463,21,Femme,0,4,10
464,Joueur464,25,Femme,2,6,9
465,Joueur465,14,Femme,0,4,8
466,Joueur466,18,Homme,2,6,8
467,Joueur467,17,Femme,4,2,8
468,Joueur468,14,Homme,8,4,10
469,Joueur469,14,Homme,1,2,8
470,Joueur470,16,Homme,8,8,10
471,Joueur471,27,Femme,7,4,10
472,Joueur472,14,Homme,3,6,10
473,Joueur473,26,Homme,8,8,10
474,Joueur474,20,Homme,3,1,10
475,Joueur475,30,Homme,2,1,9
476,Joueur476,21,Femme,6,4,10
477,Joueur477,25,Homme,9,8,10
478,Joueur478,19,Homme,3,6,10
479,Joueur479,23,Homme,6,4,10
480,Joueur480,17,Femme,4,2,8
481,Joueur481,22,Femme,1,4,8
482,Joueur482,24,Homme,3,6,10
483,Joueur483,22,Homme,8,6,10
484,Joueur484,22,Homme,0,6,8
485,Joueur485,15,Homme,3,4,8
486,Joueur486,21,Homme,1,2,10
487,Joueur487,30,Homme,2,2,9
488,Joueur488,14,Femme,2,4,10
489,Joueur489,16,Femme,0,4,8
490,Joueur490,28,Homme,7,8,10
491,Joueur491,20,Femme,0,8,10
492,Joueur492,24,Homme,1,1,8
493,Joueur493,19,Femme,6,8,10
494,Joueur494,20,Homme,0,2,10
495,Joueur495,20,Femme,2,6,10
496,Joueur496,16,Homme,2,6,10
497,Joueur497,27,Homme,2,2,8
498,Joueur498,22,Homme,0,6,8
499,Joueur499,20,Homme,4,8,10
500,Joueur500,20,Femme,2,4,8
501,Joueur501,18,Homme,3,2,8
502,Joueur502,23,Femme,7,4,10
503,Joueur503,19,Homme,0,1,10
504,Joueur504,14,Homme,4,4,10
505,Joueur505,27,Femme,4,8,10
506,Joueur506,18,Femme,2,2,10
507,Joueur507,21,Homme,2,6,10
508,Joueur508,18,Homme,1,8,10
509,Joueur509,18,Homme,9,8,10
510,Joueur510,19,Homme,5,8,8
511,Joueur511,22,Homme,4,6,10
512,Joueur512,19,Femme,6,6,10
513,Joueur513,14,Homme,7,6,10
514,Joueur514,24,Femme,4,8,10
515,Joueur515,15,Homme,1,2,10
516,Joueur516,17,Homme,7,4,10
517,Joueur517,20,Homme,1,2,8
518,Joueur518,20,Homme,3,2,10
519,Joueur519,16,Homme,2,6,8
520,Joueur520,21,Homme,8,4,10
521,Joueur521,24,Homme,0,6,8
522,Joueur522,20,Homme,6,4,10
523,Joueur523,21,Femme,2,4,9
524,Joueur524,17,Homme,3,8,10
525,Joueur525,19,Homme,3,6,8
526,Joueur526,16,Homme,9,4,10
527,Joueur527,18,Homme,6,6,10
528,Joueur528,21,Homme,9,6,10
529,Joueur529,25,Homme,4,6,10
530,Joueur530,20,Femme,0,2,8
531,Joueur531,20,Femme,6,2,10
532,Joueur532,18,Homme,8,8,10
533,Joueur533,18,Homme,7,8,10
534,Joueur534,19,Homme,5,2,10
535,Joueur535,14,Homme,4,6,8
536,Joueur536,17,Femme,2,8,10
537,Joueur537,18,Homme,0,4,9
538,Joueur538,18,Homme,8,4,10
539,Joueur539,24,Homme,3,6,10
540,Joueur540,19,Homme,4,8,10
541,Joueur541,18,Homme,0,6,8
542,Joueur542,27,Homme,3,4,10
543,Joueur543,31,Homme,6,4,10
544,Joueur544,22,Femme,0,4,8
545,Joueur545,16,Homme,2,4,10
546,Joueur546,19,Homme,0,6,10
547,Joueur547,22,Homme,1,4,10
548,Joueur548,24,Homme,0,8,10
549,Joueur549,18,Homme,4,4,8
550,Joueur550,21,Femme,2,6,8
551,Joueur551,19,Homme,1,4,9
552,Joueur552,19,Homme,4,6,10
553,Joueur553,19,Femme,7,8,10
554,Joueur554,27,Homme,6,8,10
555,Joueur555,19,Femme,0,8,10
556,Joueur556,19,Homme,6,4,10
557,Joueur557,20,Homme,5,2,10
558,Joueur558,26,Homme,4,8,10
559,Joueur559,33,Homme,2,8,10
560,Joueur560,19,Homme,5,6,10
561,Joueur561,18,Homme,7,4,10
562,Joueur562,20,Femme,8,8,10
563,Joueur563,16,Homme,1,1,10
564,Joueur564,22,Homme,6,4,10
565,Joueur565,23,Non-binaire,7,6,10
566,Joueur566,18,Homme,8,8,10
567,Joueur567,25,Femme,0,4,10
568,Joueur568,20,Homme,6,4,9
569,Joueur569,13,Homme,8,6,10
570,Joueur570,34,Homme,2,6,10
571,Joueur571,28,Femme,2,6,8
572,Joueur572,17,Homme,1,4,10
573,Joueur573,20,Homme,2,2,10
574,Joueur574,23,Homme,4,2,10
575,Joueur575,23,Homme,1,4,10
576,Joueur576,21,Homme,3,4,8
577,Joueur577,19,Femme,9,8,10
578,Joueur578,17,Femme,2,2,9
579,Joueur579,21,Femme,7,8,10
580,Joueur580,21,Homme,7,4,8
581,Joueur581,18,Femme,3,2,8
582,Joueur582,17,Femme,0,4,8
583,Joueur583,18,Homme,3,4,8
584,Joueur584,17,Femme,1,4,10
585,Joueur585,21,Homme,0,6,10
586,Joueur586,16,Homme,9,8,10
587,Joueur587,19,Femme,3,4,8
588,Joueur588,16,Homme,1,4,10
589,Joueur589,24,Femme,2,2,10
590,Joueur590,22,Homme,8,8,10
591,Joueur591,18,Femme,8,6,8
592,Joueur592,20,Homme,6,8,10
593,Joueur593,17,Femme,5,8,10
594,Joueur594,21,Homme,2,6,8
595,Joueur595,21,Femme,2,6,8
596,Joueur596,27,Femme,3,6,10
597,Joueur597,22,Homme,0,6,10
598,Joueur598,16,Femme,6,4,10
599,Joueur599,19,Homme,0,4,8
600,Joueur600,21,Femme,6,6,10
601,Joueur601,20,Homme,8,4,10
602,Joueur602,16,Homme,0,8,10
603,Joueur603,14,Femme,1,2,8
604,Joueur604,21,Homme,6,6,10
605,Joueur605,19,Homme,4,2,8
606,Joueur606,22,Femme,3,4,9
607,Joueur607,15,Homme,1,1,10
608,Joueur608,16,Homme,6,6,10
609,Joueur609,17,Homme,7,4,10
610,Joueur610,26,Femme,3,8,10
611,Joueur611,20,Homme,7,4,8
612,Joueur612,20,Homme,7,4,10
613,Joueur613,19,Homme,3,6,10
614,Joueur614,17,Homme,8,8,10
615,Joueur615,18,Femme,6,4,10
616,Joueur616,18,Femme,4,8,10
617,Joueur617,24,Homme,3,1,8
618,Joueur618,30,Homme,2,4,10
619,Joueur619,21,Homme,4,8,9
620,Joueur620,15,Homme,8,8,10
621,Joueur621,27,Homme,8,8,10
622,Joueur622,15,Femme,2,4,10
623,Joueur623,27,Femme,7,6,10
624,Joueur624,19,Homme,1,2,10
625,Joueur625,20,Homme,0,4,10
626,Joueur626,35,Homme,6,2,10
627,Joueur627,22,Femme,2,6,10
628,Joueur628,16,Homme,3,4,10
629,Joueur629,21,Femme,1,8,10
630,Joueur630,27,Femme,2,2,8
631,Joueur631,16,Femme,2,4,10
632,Joueur632,23,Homme,0,4,9
633,Joueur633,25,Homme,3,6,10
634,Joueur634,24,Homme,3,4,10
635,Joueur635,16,Femme,4,4,10
636,Joueur636,19,Homme,3,4,10
637,Joueur637,19,Homme,0,6,9
638,Joueur638,24,Homme,1,1,8
639,Joueur639,20,Homme,3,8,8
640,Joueur640,14,Femme,8,8,10
641,Joueur641,25,Femme,2,6,10
642,Joueur642,22,Homme,6,6,9
643,Joueur643,22,Homme,7,6,10
644,Joueur644,28,Femme,3,8,10
645,Joueur645,26,Homme,4,6,10
646,Joueur646,19,Homme,7,4,10
647,Joueur647,17,Femme,2,6,10
648,Joueur648,16,Femme,2,6,10
649,Joueur649,30,Femme,2,8,10
650,Joueur650,22,Homme,3,4,10
651,Joueur651,16,Femme,7,4,10
652,Joueur652,21,Homme,1,2,9
653,Joueur653,19,Homme,0,8,10
654,Joueur654,22,Femme,2,4,10
655,Joueur655,20,Femme,8,8,10
656,Joueur656,16,Femme,1,6,9
657,Joueur657,20,Femme,6,4,10
658,Joueur658,24,Homme,0,2,10
659,Joueur659,18,Homme,4,1,8
660,Joueur660,20,Femme,2,6,10
661,Joueur661,16,Homme,2,6,8
662,Joueur662,22,Femme,4,8,10
663,Joueur663,20,Homme,6,6,10
664,Joueur664,16,Homme,0,4,10
665,Joueur665,33,Femme,0,4,10
666,Joueur666,18,Femme,2,6,10
667,Joueur667,19,Homme,1,2,10
668,Joueur668,15,Homme,3,2,10
669,Joueur669,31,Homme,3,8,10
670,Joueur670,14,Homme,3,2,10
671,Joueur671,24,Homme,2,6,10
672,Joueur672,19,Homme,3,4,10
673,Joueur673,15,Homme,0,2,8
674,Joueur674,26,Homme,3,4,8
675,Joueur675,33,Homme,7,6,10
676,Joueur676,14,Homme,0,4,10
677,Joueur677,16,Femme,6,1,8
678,Joueur678,18,Femme,0,4,10
679,Joueur679,18,Homme,4,6,10
680,Joueur680,15,Femme,4,4,10
681,Joueur681,19,Homme,6,4,10
682,Joueur682,15,Homme,8,8,10
683,Joueur683,17,Femme,1,2,10
684,Joueur684,20,Femme,7,8,10
685,Joueur685,23,Femme,6,2,9
686,Joueur686,15,Femme,1,4,10
687,Joueur687,22,Homme,8,8,10
688,Joueur688,19,Femme,2,6,9
689,Joueur689,16,Homme,8,4,10
690,Joueur690,16,Homme,0,4,10
691,Joueur691,26,Homme,3,8,10
692,Joueur692,23,Homme,8,4,10
693,Joueur693,19,Homme,0,1,7
694,Joueur694,22,Non-binaire,1,4,10
